Date,Qty
9/1/2023 0:00,1378
9/2/2023 0:00,491
9/3/2023 0:00,599
9/4/2023 0:00,785
9/5/2023 0:00,904
9/6/2023 0:00,425
9/7/2023 0:00,431
9/8/2023 0:00,432
9/9/2023 0:00,376
9/10/2023 0:00,407
9/11/2023 0:00,607
9/12/2023 0:00,474
9/13/2023 0:00,523
9/14/2023 0:00,438
9/15/2023 0:00,434
9/16/2023 0:00,261
9/17/2023 0:00,384
9/18/2023 0:00,527
9/19/2023 0:00,436
9/20/2023 0:00,387
9/21/2023 0:00,387
9/22/2023 0:00,433
9/23/2023 0:00,218
9/24/2023 0:00,466
9/25/2023 0:00,517
9/26/2023 0:00,514
9/27/2023 0:00,420
9/28/2023 0:00,453
9/29/2023 0:00,538
9/30/2023 0:00,328
10/1/2023 0:00,374
10/2/2023 0:00,486
10/3/2023 0:00,470
10/4/2023 0:00,313
10/5/2023 0:00,323
10/6/2023 0:00,344
10/7/2023 0:00,216
10/8/2023 0:00,339
10/9/2023 0:00,391
10/10/2023 0:00,478
10/11/2023 0:00,622
10/12/2023 0:00,599
10/13/2023 0:00,459
10/14/2023 0:00,492
10/15/2023 0:00,490
10/16/2023 0:00,553
10/17/2023 0:00,499
10/18/2023 0:00,357
10/19/2023 0:00,431
10/20/2023 0:00,321
10/21/2023 0:00,278
10/22/2023 0:00,296
10/23/2023 0:00,484
10/24/2023 0:00,450
10/25/2023 0:00,410
10/26/2023 0:00,436
10/27/2023 0:00,473
10/28/2023 0:00,321
10/29/2023 0:00,369
10/30/2023 0:00,435
10/31/2023 0:00,390
11/1/2023 0:00,325
11/2/2023 0:00,418
11/3/2023 0:00,429
11/4/2023 0:00,312
11/5/2023 0:00,390
11/6/2023 0:00,553
11/7/2023 0:00,356
11/8/2023 0:00,437
11/9/2023 0:00,387
11/10/2023 0:00,871
11/11/2023 0:00,483
11/12/2023 0:00,373
11/13/2023 0:00,628
11/14/2023 0:00,545
11/15/2023 0:00,541
11/16/2023 0:00,536
11/17/2023 0:00,456
11/18/2023 0:00,287
11/19/2023 0:00,365
11/20/2023 0:00,477
11/21/2023 0:00,473
11/22/2023 0:00,404
11/23/2023 0:00,398
11/24/2023 0:00,1017
11/25/2023 0:00,970
11/26/2023 0:00,716
11/27/2023 0:00,1168
11/28/2023 0:00,1158
11/29/2023 0:00,695
11/30/2023 0:00,776
12/1/2023 0:00,488
12/2/2023 0:00,421
12/3/2023 0:00,520
12/4/2023 0:00,723
12/5/2023 0:00,426
12/6/2023 0:00,350
12/7/2023 0:00,497
12/8/2023 0:00,643
12/9/2023 0:00,391
12/10/2023 0:00,416
12/11/2023 0:00,508
12/12/2023 0:00,347
12/13/2023 0:00,767
12/14/2023 0:00,503
12/15/2023 0:00,448
12/16/2023 0:00,328
12/17/2023 0:00,358
12/18/2023 0:00,639
12/19/2023 0:00,330
12/20/2023 0:00,321
12/21/2023 0:00,278
12/22/2023 0:00,395
12/23/2023 0:00,277
12/24/2023 0:00,183
12/26/2023 0:00,518
